request_id,time,date,hour,minute,url,domain,path,query,status_code,status_type,method,mime_type,wait_ms
12829,2025-11-26 08:40:21.637325+00:00,2025-11-26,8,53,https://shopee.vn/flash_sale,shopee.vn,/flash_sale,,200,2xx,GET,text/html; charset=utf-8,219.2540440321556
10575,2025-11-25 20:22:51.440382+00:00,2025-11-25,20,43,https://shopee.vn/this-page-should-not-exist-404,shopee.vn,/this-page-should-not-exist-404,,200,2xx,GET,text/html; charset=utf-8,122.82757748581977
10060,2025-11-25 20:35:25.360174+00:00,2025-11-25,20,25,https://shopee.vn/,shopee.vn,/,,200,2xx,GET,text/html; charset=utf-8,95.13640074900654
7828,2025-11-25 19:08:46.968170+00:00,2025-11-25,19,6,https://shopee.vn/,shopee.vn,/,,200,2xx,GET,text/html; charset=utf-8,111.29964852865798
4882,2025-11-25 17:49:58.087344+00:00,2025-11-25,17,22,https://shopee.vn/search?keyword=giay,shopee.vn,/search,keyword=giay,200,2xx,GET,text/html; charset=utf-8,102.57551081417509
6904,2025-11-25 18:15:27.504444+00:00,2025-11-25,18,34,https://shopee.vn/,shopee.vn,/,,200,2xx,GET,text/html; charset=utf-8,140.693463801883
3097,2025-11-25 16:02:49.443837+00:00,2025-11-25,15,50,https://shopee.vn/,shopee.vn,/,,200,2xx,GET,text/html; charset=utf-8,303.5038995126804
1158,2025-11-25 14:38:45.134000+00:00,2025-11-25,14,49,https://shopee.vn/api/v4/pages/get_footer_layout,shopee.vn,/api/v4/pages/get_footer_layout,,200,2xx,GET,application/json,54.07304319667016
932,2025-11-25 15:02:08.694000+00:00,2025-11-25,14,48,https://deo.shopeemobile.com/shopee/shopee-pcmall-live-sg/flashsale/5112f196d53068a0c14b.png,deo.shopeemobile.com,/shopee/shopee-pcmall-live-sg/flashsale/5112f196d53068a0c14b.png,,200,2xx,GET,image/png,1.0
3949,2025-11-25 16:39:53.564371+00:00,2025-11-25,16,49,https://shopee.vn/search?keyword=iphone,shopee.vn,/search,keyword=iphone,200,2xx,GET,text/html; charset=utf-8,89.44410210865867
2879,2025-11-25 16:03:16.684071+00:00,2025-11-25,15,47,https://shopee.vn/brands,shopee.vn,/brands,,200,2xx,GET,text/html; charset=utf-8,243.77815842430033
7262,2025-11-25 18:48:19.470725+00:00,2025-11-25,18,46,https://shopee.vn/search?keyword=giay,shopee.vn,/search,keyword=giay,200,2xx,GET,text/html; charset=utf-8,188.32171319135662
4107,2025-11-25 16:56:20.731271+00:00,2025-11-25,16,55,https://shopee.vn/this-page-should-not-exist-404,shopee.vn,/this-page-should-not-exist-404,,200,2xx,GET,text/html; charset=utf-8,97.92737264499148
