time,method,url,status,mimeType,wait_ms
2025-11-25T14:43:01.215Z,POST,https://dem.shopee.com/dem/entrance/v1/apps/pc-promotion/tags/web-custom/event/json,200,application/json,121.67399994245172
2025-11-25T14:43:01.216Z,POST,https://dem.shopee.com/dem/entrance/v1/apps/pc-promotion/tags/web-performance/event/json,200,application/json,115.12100005058944
2025-11-25T14:43:01.377Z,POST,https://ubt.tracking.shopee.vn/v4/event_batch,200,image/gif,94.35899996036291
2025-11-25T14:43:01.379Z,OPTIONS,https://ubt.tracking.shopee.vn/v4/event_batch,204,x-unknown,45.616000007688996
2025-11-25T14:43:01.970Z,GET,https://down-vn.img.susercontent.com/file/sg-11134258-8226l-mhfocy0ufgnf81@resize_w1594_nl.webp,200,image/webp,37.83299996898323
2025-11-25T14:43:03.043Z,POST,https://shopee.vn/__t__,200,image/gif,51.489000006228686
2025-11-25T14:43:07.528Z,GET,https://down-vn.img.susercontent.com/file/sg-11134258-821d9-mhbl66yd8phn61@resize_w1594_nl.webp,200,image/webp,35.71600005471706
2025-11-25T14:43:08.607Z,POST,https://shopee.vn/__t__,200,image/gif,52.47600005749613
2025-11-25T14:43:11.626Z,POST,https://ubt.tracking.shopee.vn/v4/event_batch,200,image/gif,48.00000003305823
2025-11-25T14:43:11.627Z,OPTIONS,https://ubt.tracking.shopee.vn/v4/event_batch,204,x-unknown,48.04099999108911
2025-11-25T14:43:13.036Z,GET,https://down-vn.img.susercontent.com/file/sg-11134258-82252-mhcpo4olcx7316@resize_w1594_nl.webp,200,image/webp,86.8360000026077
2025-11-25T14:43:14.116Z,POST,https://shopee.vn/__t__,200,image/gif,54.53900004384667
2025-11-25T14:43:18.561Z,GET,https://down-vn.img.susercontent.com/file/sg-11134258-821f3-mhbl68xnd8nea7@resize_w1594_nl.webp,200,image/webp,86.50999999760836
2025-11-25T14:43:19.641Z,POST,https://shopee.vn/__t__,200,image/gif,54.53500003285706
2025-11-25T14:43:21.839Z,POST,https://ubt.tracking.shopee.vn/v4/event_batch,200,image/gif,50.59599999578297
2025-11-25T14:43:21.840Z,OPTIONS,https://ubt.tracking.shopee.vn/v4/event_batch,204,x-unknown,50.77999996999651
2025-11-25T14:43:24.086Z,GET,https://down-vn.img.susercontent.com/file/vn-11134258-820l4-mhcpjnp4zife53@resize_w1594_nl.webp,200,image/webp,40.42499997603893
2025-11-25T14:43:25.163Z,POST,https://shopee.vn/__t__,200,image/gif,50.74600003864616
2025-11-25T14:43:26.011Z,POST,https://dem.shopee.com/dem/janus/v1/app-auth/login,200,application/json,35.3800000295341
2025-11-25T14:43:26.155Z,POST,https://dem.shopee.com/dem/entrance/v1/apps/pc-platform/tags/web-performance/event/json,200,application/json,73.84999998349696
2025-11-25T14:43:26.157Z,OPTIONS,https://dem.shopee.com/dem/entrance/v1/apps/pc-platform/tags/web-performance/event/json,204,x-unknown,35.35299997922033
2025-11-25T14:43:32.788Z,POST,https://ubt.tracking.shopee.vn/v4/event_batch,200,image/gif,50.787999994695184
2025-11-25T14:43:32.791Z,OPTIONS,https://ubt.tracking.shopee.vn/v4/event_batch,204,x-unknown,50.39100001949072
2025-11-25T14:43:52.787Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/shopee-ui.8321d60c84cc1e5bbbb0.js,200,text/javascript,2.7150000232532623
2025-11-25T14:43:52.789Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/6449.b3b8696424b2ff4685be.css,200,text/css,9.665000023610887
2025-11-25T14:43:52.790Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/shopee-ui.aef3400b93fdb5dbf6e8.js,200,text/javascript,1.0440000472739337
2025-11-25T14:43:52.791Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/chatlist-ui.3100e385f1eeb7f82c67.js,200,text/javascript,0.7379999905973671
2025-11-25T14:43:52.792Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/459.0794afb598e49faf8b03.css,200,text/css,9.82300005263835
2025-11-25T14:43:52.793Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/shopee-ui.dafbedc0f87d9e69d617.js,200,text/javascript,0.5449999773278833
2025-11-25T14:43:52.793Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/311.2f16752028d5070bceef.css,200,text/css,9.582999961964788
2025-11-25T14:43:52.794Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/shopee-ui.d83f46c7e8699f799ee9.js,200,text/javascript,2.1219999838471413
2025-11-25T14:43:52.795Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/4488.ccb2c711b96b3cd67037.css,200,text/css,12.849000010952352
2025-11-25T14:43:52.796Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/shopee-ui.809258c7df9128ea5412.js,200,text/javascript,0.5290000122636558
2025-11-25T14:43:52.796Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/877.4221f0451ab412483114.css,200,text/css,9.757000001199543
2025-11-25T14:43:52.797Z,GET,https://deo.shopeemobile.com/shopee/shopee-seller-live-vn/chateasy/shopee-ui.76a5f672801d1879716b.js,200,text/javascript,0.49500003525614744
